item_,vote_average,vote_count
708,3.475247525,101
222,3.660273973,365
235,2.847926267,217
128,3.538461538,65
682,3.06,100
47,3.601503759,133
1016,3.459854015,137
573,2.939393939,33
1332,2,2
703,3.578947368,19
28,3.93115942,276
147,3.47027027,185
558,3.671428571,70
386,2.816091954,87
155,3.102040816,98
194,4.058091286,241
949,3.338028169,71
378,3.722772277,101
307,3.515957447,188
189,4.106060606,66
779,2.548387097,31
435,3.949074074,216
209,3.905759162,191
588,3.792079208,202
263,2.157894737,19
450,2.396825397,63
651,4.076023392,171
316,4.196428571,112
580,3.375,32
424,1.315789474,19
1047,2.835820896,134
475,3.884,250
1160,3.615384615,26
217,3.158333333,120
13,3.418478261,184
134,4.292929293,198
740,3.476190476,63
77,3.278145695,151
1397,3.2,5
807,2.777777778,9
113,4.111111111,9
116,3.824,125
121,3.438228438,429
218,3.456140351,171
252,2.943037975,158
327,3.377142857,175
144,3.872427984,243
207,3.818181818,66
1042,3.142857143,28
671,3.608695652,46
1046,3.173913043,46
387,3.384615385,65
679,3.046728972,107
290,3.114583333,96
1229,2.153846154,13
1107,3.055555556,18
821,3.045454545,22
1129,3.571428571,28
11,3.847457627,236
462,3.804054054,148
494,4,56
921,3.97826087,46
469,3.776119403,67
1216,3,6
271,3.232227488,211
120,2.23880597,67
379,2.976744186,43
157,3.692913386,127
470,3.666666667,108
725,2.75,16
605,3.35483871,31
529,3.978494624,93
1095,2.620689655,29
356,3.381443299,97
762,3.391304348,115
1182,2.307692308,13
457,1.740740741,27
1199,2.869565217,23
286,3.656964657,481
684,3.792899408,169
853,3.857142857,14
965,3.666666667,21
652,3.888888889,90
1164,2.166666667,6
631,3.621848739,119
923,4.155172414,58
883,3.230769231,13
29,2.666666667,114
560,2.727272727,22
536,3.3,10
369,2.636363636,55
518,3.651685393,89
1250,1.5,6
880,3.169491525,59
1180,2.5,10
366,3.340425532,47
695,2.923076923,13
767,2.181818182,11
903,3.111111111,18
1197,3.555555556,45
1393,2.111111111,9
522,3.771428571,35
712,3.078431373,51
642,3.483146067,89
1099,3.461538462,13
1462,3.714285714,7
620,3.093023256,43
696,3.139240506,79
1065,3.490566038,53
1133,2.966666667,30
1262,3.625,8
607,3.96969697,66
1030,2.25,20
297,3.96,50
394,3.333333333,12
999,2.8,10
1062,3.75,12
608,3.933333333,30
734,2.518518519,27
1272,1.8,5
6,3.576923077,26
1074,2.961038961,77
1149,3.846153846,26
681,2.444444444,27
966,4.192307692,26
76,3.407407407,54
1503,3.1,10
1463,3.333333333,3
1371,1.5,2
894,1.894736842,19
1270,2.285714286,7
895,3.216981132,106
1306,3,2
844,3.357142857,42
1328,3.166666667,6
1424,2.333333333,3
976,1.833333333,12
859,2.666666667,15
1172,3.666666667,15
827,2.771929825,57
1097,3.5,18
728,3.022222222,45
636,3.241758242,91
330,3.024390244,41
541,2.87755102,49
353,2.428571429,14
854,3.375,16
1309,1,1
1427,2.8,5
862,2.111111111,18
1158,4,4
985,2.863636364,22
968,3.722222222,18
759,2.181818182,11
1024,3.6,15
1259,2,4
1466,4,6
776,3.222222222,9
1446,3.133333333,15
1294,3.142857143,7
1473,3.555555556,9
1578,2,2
534,3.307692308,13
1279,2.888888889,9
1554,3,2
1533,4,1
1353,2.6,5
459,3.75,24
1076,2.25,12
599,1,1
1200,3.285714286,7
1400,3.1,10
1501,3,5
1103,3.789473684,19
1534,2.166666667,6
1441,2.571428571,7
1174,3.25,8
1563,1,1
1550,3,2
1154,3.333333333,12
1483,3.416666667,12
1238,3.125,8
757,2.75,4
1545,2.5,4
1580,1,1
1331,3,4
1468,3.333333333,6
920,2.2,5
1185,2.277777778,18
1311,2.5,16
1587,1,1
1304,2.5,2
1359,1,2
1590,2,2
1616,4,1
1465,2.333333333,3
1585,2.5,2
1596,2,1
1408,1,3
1602,3.333333333,3
1440,3,5
1358,3,2
1502,1.5,2
1243,3.714285714,7
1615,3,10
1653,5,1
1491,3,2
1423,2.25,4
1639,4.333333333,3
1650,4,1
1669,2,1
1594,4.5,2
1637,3,1
1577,1,1
1544,2.666666667,3
1573,2.5,2
1341,1,1
1667,3,1
1256,2,3
1564,1,1
1665,2,1
1677,3,1
181,4.007889546,507
86,3.94,150
418,3.581395349,129
425,3.741176471,85
148,3.203125,128
419,3.724719101,178
210,3.930513595,331
298,3.768041237,194
220,3.363636364,66
70,3.661354582,251
14,3.967213115,183
847,3.727272727,55
177,3.861313869,137
258,3.803536346,509
523,3.993902439,164
763,3.389261745,149
372,3.529411765,34
223,4.198529412,136
429,3.93814433,97
463,3.85915493,71
433,3.69005848,171
596,3.377952756,127
72,3.19379845,129
253,3.692307692,26
88,3.539906103,213
1346,2.4,5
648,4.029850746,67
657,4.259541985,131
492,3.86440678,59
95,3.812785388,219
412,2.397849462,93
250,3.47715736,197
132,4.077235772,246
678,2.808219178,219
211,3.912621359,206
758,1.714285714,21
410,3.12962963,162
273,3.569506726,223
901,1.916666667,12
66,3.549382716,162
806,3.46,50
289,2.980694981,259
205,3.992647059,136
1249,2.833333333,12
874,3.256410256,39
251,4.260869565,46
404,3.673267327,101
535,3.166666667,54
340,3.587301587,189
1316,2.714285714,7
846,3.068181818,44
2,3.20610687,131
185,4.10041841,239
20,3.416666667,72
1006,2.826086957,23
441,2.566037736,53
90,3.052631579,95
229,3.111111111,171
382,3.594594595,111
793,3.5,10
409,3.142857143,70
395,2.589285714,56
417,3.095890411,73
983,2.4,15
781,3.333333333,84
704,3.041666667,24
491,3.791044776,67
249,3.246153846,130
1222,2.68,25
769,2.452380952,42
365,3.208333333,48
466,3.596153846,52
377,2.153846154,13
905,3.222222222,27
479,4.251396648,179
931,2.157894737,57
628,3.514792899,169
262,3.712121212,66
31,3.62987013,154
661,4.102272727,88
1137,3.965517241,29
26,3.452054795,73
1444,2.473684211,19
21,2.761904762,84
755,3.3125,96
452,2.666666667,66
141,3.5,72
872,3.095238095,42
649,3.4,50
1017,3.24,50
715,3.275862069,87
315,4.1,160
587,3.571428571,14
371,3.164179104,67
922,3.823529412,34
941,3.065217391,46
717,2.817073171,82
497,3.838235294,68
626,3.25,4
586,2.676470588,34
593,3.166666667,12
774,2.9375,32
572,2.75862069,29
461,3.621621622,74
937,3.405405405,37
543,3.619047619,21
397,2.583333333,12
858,1,3
1178,2.473684211,19
727,3.46031746,63
993,3.515151515,66
500,3.903225806,31
610,3.658536585,41
481,3.936507937,63
1362,2,2
1498,4,1
782,2.6,10
224,3.704545455,44
1050,3.651162791,43
934,2.926470588,68
1215,1.933333333,30
713,3.611111111,72
1135,2.97826087,46
639,3.7,40
992,3,4
1032,2.875,16
814,5,1
1318,1.333333333,3
1378,2.2,5
489,4.115384615,52
1089,2.131578947,38
1190,3.363636364,11
502,3.701754386,57
84,3,18
570,3.1,50
1113,3.272727273,22
791,2.5,10
1242,2.6,5
1112,2.8,15
108,3.076923077,65
635,2.739130435,23
1351,2,3
444,2.717391304,46
1442,2.4,5
1105,2.833333333,18
1141,3.333333333,9
962,3.130434783,23
149,3,23
567,2.8,35
841,2.75,48
881,2.933333333,45
1054,2.304347826,23
594,2.4,5
1244,2.916666667,36
538,3.424242424,66
1385,2.8,5
834,2.2,25
390,3.2,10
112,2.45,20
1489,2.2,5
1088,2.230769231,13
1195,3.272727273,11
1417,2.5,2
1458,4,1
1456,3.714285714,7
1307,1.5,2
1125,4.25,4
1485,3.5,4
1310,3,1
1536,5,1
1582,1,1
1343,1,1
1177,1.857142857,7
1302,3.4,5
1519,3,2
852,1,1
1521,3,4
817,2.666666667,3
1406,3.4,5
935,3.285714286,7
1275,2.5,4
1261,3.25,4
1522,2.428571429,7
1537,4,4
1280,2.6875,16
1269,3.9,10
1420,1.333333333,3
917,3.428571429,7
600,3,2
1205,3,6
1445,2.75,4
899,3.444444444,9
1598,2.5,6
1559,1,1
1568,1,1
1507,3,1
1474,2.833333333,6
1155,3.333333333,3
1607,3.333333333,3
1321,2.5,2
897,1.5,2
1661,1,1
1646,3.5,2
1632,3,1
1130,4,1
1429,2.75,4
1467,5,2
1448,3.666666667,3
1641,3,1
1676,2,1
1366,1,1
1631,3.5,2
1329,1,1
1604,4,1
496,4.121212121,231
191,4.163043478,276
137,3.900584795,171
432,3.770114943,174
240,2.788461538,156
68,3.417910448,134
526,3.830645161,124
1033,2.78125,32
845,3.465909091,176
255,3.360465116,172
616,3.421875,64
945,3.925,40
85,3.034482759,58
283,3.717514124,177
117,3.693121693,378
96,4.006779661,295
331,3.539823009,113
24,3.448275862,174
53,2.953125,128
510,3.94214876,121
230,3.447236181,199
133,3.871345029,171
285,4.265432099,162
1162,1.6,5
693,3.648351648,91
919,3.791666667,96
161,3.481818182,220
300,3.631090487,431
1119,3.661016949,59
215,3.698113208,212
81,3.554545455,110
5,3.302325581,86
164,3.589403974,151
778,3.552631579,76
308,2.966666667,30
184,3.431034483,116
764,2.75862069,29
1260,2.75,4
416,3.484375,64
627,3.226666667,75
499,3.951612903,62
685,3.356687898,157
1057,2.318181818,22
1094,2.416666667,12
143,3.765765766,222
347,3.510948905,137
1044,3.225,40
542,2.529411765,51
581,3.220338983,59
94,3.087591241,137
364,2.675675676,37
367,3.458823529,170
741,3.448275862,58
509,3.851239669,121
102,3.12962963,54
687,2.188405797,69
354,3.486111111,72
583,3,37
1286,3.705882353,17
163,3.554347826,92
738,2.838709677,31
1037,2,24
528,4.132231405,121
1383,2,6
732,3.65,180
162,3.556603774,106
743,1.948717949,39
609,3.583333333,60
4,3.550239234,209
1281,3.153846154,13
697,3.425,40
306,3.947916667,96
556,2.5,12
1073,3.818181818,66
260,2.57480315,127
990,3.090909091,33
1001,2,17
829,2.647058824,34
505,4,68
464,3.592592593,27
1179,2.111111111,9
1289,2.142857143,7
326,3.36,175
193,3.917197452,157
32,3.790123457,81
201,3.516853933,89
836,3.769230769,26
1336,1.8,10
1035,3.161764706,68
1267,3,33
360,3.2,10
1295,2.571428571,7
183,4.034364261,291
1060,3.051282051,39
720,3.023255814,86
744,3.456521739,92
284,3.160621762,193
561,3.06779661,59
439,1,5
632,3.896551724,58
1070,3.740740741,27
1034,2.518518519,27
562,3.208333333,48
867,4,6
887,3.609375,64
1169,4.1,10
270,3.595588235,136
314,1,5
374,2.272727273,11
777,1.25,4
549,3.565217391,92
1471,2.444444444,9
467,3.791666667,48
521,3.833333333,120
1508,2.333333333,3
1225,2.642857143,14
1188,2.772727273,44
1268,3.3,10
645,3.814814815,27
896,3.772727273,44
1002,1.875,8
825,3.036144578,83
119,4.5,4
613,4.037037037,27
1312,3,7
1227,2.375,8
675,3.555555556,54
702,3.018867925,53
694,4.045454545,44
1123,3.666666667,3
1069,3.166666667,18
359,3.5,18
1082,2.625,8
801,2.8125,16
991,2.24,25
495,3.661016949,59
1413,2.75,8
1189,5,3
1043,3,8
398,2.076923077,26
1051,3.243902439,41
1320,1,1
329,3.333333333,45
1416,2.4,5
622,3.358974359,39
532,3.318181818,22
46,3.555555556,27
970,3.25,8
1367,4.2,5
565,2.681818182,22
1166,3.166666667,12
1087,1.7,10
349,2.903225806,31
669,1.615384615,13
1425,2.6,10
1232,2.470588235,17
1258,2.52173913,23
1282,3.222222222,9
914,2.727272727,11
1439,3,8
1434,2.5,10
1176,3.363636364,22
1404,3.230769231,13
1543,3,1
1223,3.5,4
1236,3,1
1361,2.666666667,3
891,2.666666667,6
1029,2,14
1591,3.166666667,6
1531,3.285714286,7
1455,2.5,2
1237,3.5,6
1504,3.666666667,3
1038,2.823529412,17
1064,4.25,4
1476,2,1
296,3.333333333,6
1363,1,1
1547,3,2
1290,1.5,2
1111,3.428571429,7
1513,2,3
1597,3,5
1191,4.333333333,3
1496,2.8,5
1426,3.25,8
1488,3,4
1525,4,1
1234,2.375,8
1145,2.666666667,9
1583,1,1
1233,3.5,6
1599,5,1
1644,1.5,2
1410,2.75,4
1548,1,1
1655,2,1
1654,1,1
1662,2.5,2
1647,3,1
1621,1,1
1581,1,1
1643,3.75,4
1382,2,4
1622,2.333333333,3
1674,4,1
1640,3,1
1325,1,1
1636,4,1
1681,3,1
1638,3,1
1551,2,2
1671,1,1
1672,2,2
1546,1,1
1668,3,1
1673,3,1
634,3.75,24
1245,3.210526316,19
125,3.557377049,244
402,3.464705882,170
875,2.735849057,53
995,3.161290323,31
516,3.968253968,63
1063,3.658536585,41
673,3.523255814,86
257,3.745874587,303
212,3.456521739,92
23,4.120879121,182
61,3.86440678,59
318,4.466442953,298
339,3.255319149,47
654,4.136054422,147
721,3.444444444,54
239,3.513333333,150
242,3.991452991,117
264,2.742574257,101
869,3,24
447,3.504132231,121
879,3.272058824,136
483,4.456790123,243
790,2.909090909,66
328,3.423728814,295
831,2.461538462,91
908,2.5,20
246,3.935483871,124
1209,2.533333333,15
709,4.028846154,104
69,3.853582555,321
748,3.123417722,316
268,3.792156863,255
527,4.020512821,195
175,3.817307692,208
426,2.84375,32
288,3.441422594,478
723,3.147058824,34
38,3.008333333,120
478,4.115384615,104
1007,4.127659574,47
1101,3.77027027,74
8,3.99543379,219
482,3.984375,128
276,3.697986577,298
17,3.119565217,92
578,3.152173913,92
55,3.704697987,149
1151,2.142857143,7
848,3.555555556,9
293,3.802721088,147
820,2.774193548,93
553,3.285714286,63
301,3.304347826,230
279,3.285714286,28
1022,3.4375,32
576,3.021505376,93
977,2.693877551,49
750,3.85483871,124
754,3.385964912,57
771,2.634146341,41
226,3.355421687,166
849,2.716981132,53
550,3.284768212,151
206,3.38,50
110,2.516129032,31
1298,3.666666667,9
840,2.660377358,53
231,2.683098592,142
1228,2.458333333,48
370,2.820512821,39
1028,3.040540541,148
1263,2.933333333,15
248,3.675,160
449,3.034188034,117
710,3.569620253,79
615,4.050847458,59
135,3.969111969,259
48,4.094017094,117
688,1.840909091,44
63,3.097560976,82
1059,2.771428571,35
959,3.46875,64
686,3.68,50
797,3.096774194,31
1315,3.130434783,23
603,4.387559809,209
629,3.337662338,77
413,2.636363636,55
384,2.782608696,69
663,3.905172414,116
453,1.9375,16
392,3.544117647,68
486,3.796875,64
232,3.207920792,101
832,2.545454545,22
1091,2.720930233,43
344,3.654545455,55
595,3.09375,64
749,3.176470588,51
640,3.024390244,82
938,2.88,25
350,3.146341463,41
611,4.1,40
1061,2.931034483,29
1497,3,2
1039,4.011111111,90
707,3.928571429,70
1100,2.625,8
1052,2.28,25
761,3.045454545,44
74,3,7
336,2.627906977,43
456,2.3125,48
700,2.6,15
805,3.62962963,27
519,4.1,80
557,3.117647059,17
856,3.833333333,36
1265,3.052631579,19
986,2.565217391,23
902,3.833333333,42
1239,2.444444444,18
972,3.178571429,28
664,3.543478261,46
1104,3,4
783,2.72972973,37
342,2.923076923,52
1106,3,4
422,2.846153846,26
1192,3.384615385,13
1071,2.875,16
638,3.772727273,44
689,3.149425287,87
954,3.545454545,11
352,2.115384615,26
633,4.057971014,69
1163,2.68,25
830,1,1
389,3.444444444,27
1108,2.4,5
1212,2.833333333,6
1230,1.833333333,18
533,3.666666667,15
37,2.25,8
637,3.026315789,38
857,3,1
592,3.333333333,9
1068,3.166666667,12
698,3,10
1276,2.5,8
933,2.428571429,21
888,3.466666667,15
1213,2.166666667,6
1370,2.666666667,3
1297,2.833333333,12
1373,1,1
1085,3,11
1527,2.428571429,7
916,3.166666667,18
1056,3.2,10
1357,2.666666667,3
75,3,5
1075,3.428571429,7
1565,1,1
1140,2.294117647,17
35,2.181818182,11
1252,3,9
1317,2,4
1454,3,6
1392,2,5
1470,2.6,5
1339,1,1
1523,3,2
1096,2.666666667,3
1214,2,9
1173,2.571428571,7
1506,3.666666667,3
1389,3,3
1528,2.333333333,3
1558,3.571428571,7
1575,1,1
1204,3.611111111,18
1579,1,1
1516,4,3
1553,2.75,4
1576,1,1
1511,3.2,5
1540,2.8,10
1623,4,3
1414,2,1
1620,3.222222222,9
799,3.2,5
1535,3,4
1570,1,1
1251,4.125,8
1452,4,1
1380,2.333333333,6
1572,1,1
1660,2,1
1365,1.5,2
987,2.5,4
1670,3,1
1556,2,2
1666,2,1
1122,5,1
1201,5,1
1606,2,1
1680,2,1
1633,3,1
241,3.546875,128
50,4.358490566,583
443,3.808641975,162
107,3.5,42
275,4.01119403,268
585,2.487179487,39
683,2.408163265,49
376,2.833333333,24
178,4.344,125
233,3.290322581,124
792,3.720930233,86
662,3.426829268,82
381,3.55,100
427,4.292237443,219
747,3.460784314,102
436,3.535353535,99
333,3.593625498,251
1150,3.111111111,9
451,3.347058824,170
199,4.175757576,165
114,4.447761194,67
40,2.894736842,57
323,2.933333333,240
568,3.647826087,230
1081,2.75,8
929,2.7,40
868,3.8,5
228,3.81557377,244
357,4.291666667,264
430,4,93
507,3.816326531,98
56,4.060913706,394
559,3.182481752,137
277,3.464788732,71
471,3.610859729,221
508,3.595348837,215
214,3.350877193,114
898,3.224137931,58
243,2.439393939,132
514,3.911111111,180
1010,3.25,44
540,2.511627907,43
1165,1.857142857,14
396,2.814814815,54
1048,3.01369863,73
291,3.37007874,127
322,3.087155963,218
1186,3.333333333,3
292,3.666666667,114
1021,3.815789474,38
886,3.075471698,53
942,3.488888889,45
254,2.451612903,62
99,3.709302326,172
773,2.941176471,17
772,3.06122449,49
200,3.825242718,206
140,3.213114754,61
80,2.764705882,68
939,3.6,60
873,2.962962963,81
525,4.02739726,73
731,3.153846154,39
188,3.682352941,170
736,3.935897436,78
575,2.545454545,44
33,3.453608247,97
265,3.863436123,227
473,3.126984127,126
766,3.111111111,9
1342,2.5,2
900,3.69047619,42
980,3.181818182,22
1015,2.833333333,12
101,3.260273973,73
1116,3.615384615,13
71,3.781818182,220
975,3.159090909,44
643,3,4
591,3.601123596,178
52,3.769230769,91
1194,4.064516129,31
932,2.925,40
926,2.702970297,101
238,3.875,256
659,4.07826087,115
512,4,57
165,4.109375,64
1153,3.473684211,19
368,1.903225806,31
623,2.923076923,39
813,3.892857143,56
1114,3.3,10
866,3.319327731,119
506,3.855555556,90
1288,3,7
440,1.642857143,14
93,3.723214286,112
513,4.333333333,72
375,1.956521739,23
131,3.726315789,95
828,2.692307692,13
1132,2.625,32
136,4.123809524,105
1093,3.086956522,23
45,4.05,80
876,2.70212766,47
1183,2.210526316,19
41,3.081081081,37
341,3.090909091,11
1372,3,3
383,2.064516129,31
1152,3.428571429,28
795,2.428571429,21
1126,3.34375,32
1004,3.111111111,9
850,4,4
1226,3.375,32
1210,2.736842105,38
1401,3.222222222,18
1040,2.6,25
358,2.615384615,143
590,2,18
1025,2.931818182,44
753,3.708333333,24
261,2.558139535,43
1090,2.405405405,37
445,3.5,22
434,3.835820896,67
266,2.714285714,35
1411,2.571428571,28
978,2.518518519,27
362,2.821428571,28
946,3.147540984,61
913,2.5,2
1347,2.75,4
1072,2.428571429,7
1478,2.722222222,18
563,2.413793103,29
1292,1.666666667,3
915,3.923076923,13
1303,2.333333333,18
1175,3.4,5
1449,4.625,8
1231,2.5,22
1368,3.666666667,6
1438,2.4,5
667,2.166666667,12
545,1.833333333,12
1120,3,17
956,3.608695652,46
1083,2.5,6
1390,2,2
952,3.177777778,45
598,2.25,4
130,2.260869565,23
1379,2.857142857,7
1338,2.25,4
1354,1,2
1193,3.8,10
1469,3.166666667,12
1301,3.8,5
1374,1,2
1530,2,5
994,2.285714286,7
1432,1,3
1092,2.5,12
1524,4.25,8
1247,1.833333333,6
1435,2.571428571,7
1421,3.181818182,11
798,2.222222222,9
1264,3.285714286,7
1156,3,1
1287,1.333333333,6
909,3.769230769,13
1437,2,9
1566,1,1
1031,2.285714286,7
1337,2.333333333,9
957,2,2
1510,3,1
1499,3.25,4
1571,1,1
1415,2.444444444,9
1608,2.25,4
973,3.5,4
1146,2,3
1539,1.75,4
1255,2.25,8
1605,3,4
1624,2,1
1541,3.5,2
1609,1.666666667,3
1601,1,1
1649,3,1
1335,2.636363636,11
1657,3,1
1027,2.666666667,3
1482,4,1
1618,1,1
1664,3.25,4
1352,1,1
1675,3,1
1611,3,2
1634,2,1
1648,2,1
385,3.5625,208
216,3.910344828,290
319,3.273809524,168
97,3.79296875,256
58,3.645714286,175
334,3.359375,64
1078,2.772727273,22
454,2.875,16
27,3.105263158,57
196,3.916334661,251
182,3.951327434,226
171,3.876923077,65
221,3.72972973,74
517,3.769230769,91
569,2.701492537,67
89,4.138181818,275
64,4.445229682,283
953,3.318181818,22
259,2.685185185,162
1334,1,2
154,3.747126437,174
835,3.866666667,15
1248,3,19
287,3.58974359,78
202,3.764285714,280
746,3.663865546,119
739,3.323170732,164
546,3.031496063,254
195,3.933554817,301
1142,4.045454545,44
1109,3.428571429,28
680,2.558823529,34
582,3.601190476,168
172,4.204359673,367
641,4.212121212,33
109,3.430769231,130
571,2.5,28
552,2.866666667,45
145,2.446153846,65
176,3.947183099,284
7,3.798469388,392
770,3.385964912,57
751,3.427777778,180
1014,3.06122449,98
716,3.155172414,58
115,3.733333333,15
36,2.153846154,13
203,3.868131868,182
401,2.802631579,76
192,4.120689655,116
655,3.881057269,227
547,3.341463415,41
808,2.838709677,31
714,3.230769231,13
405,3.313953488,344
169,4.466101695,118
530,4.025,80
332,3.461538462,143
760,2.652173913,46
1005,3.681818182,22
863,3.916666667,24
1115,3.413793103,29
142,3.070175439,57
971,3.676470588,34
267,3.444444444,9
190,4.137096774,124
520,4.10483871,124
864,3.162790698,86
969,3.8,75
882,3.294117647,34
421,3.594339623,106
186,3.836653386,251
1348,1,1
476,3.01875,160
775,2.769230769,26
3,3.033333333,90
824,2.755102041,49
414,3.532258065,62
490,4.02,50
839,2.5,4
304,3.536912752,149
1147,3.666666667,21
1211,3.416666667,12
955,3.408163265,49
146,2.5,10
984,2.863636364,44
1067,3.454545455,44
951,2.820512821,39
612,3.941176471,34
1181,2.5,10
460,3,28
278,3.233333333,60
225,2.908256881,109
49,3.320987654,81
1220,3.333333333,30
870,2.777777778,9
877,2.538461538,52
927,3.166666667,6
1428,3.666666667,12
511,4.231213873,173
105,2.567567568,74
1493,1,1
158,2.616666667,60
1066,3,16
1117,3.105263158,19
1464,2.333333333,3
621,2.909090909,11
928,3.115384615,104
871,2.4,75
788,1.666666667,3
936,3.9375,32
722,2.931034483,58
735,3.854014599,137
124,4.053475936,187
458,3.122222222,90
415,2.84,25
104,1.4,5
1291,2.2,15
1008,3.378378378,37
910,2,4
1136,3.482758621,29
865,3.476190476,21
503,3.641025641,39
1314,2.454545455,11
1131,4,13
1084,3.857142857,21
579,2.631578947,19
884,3.285714286,7
924,3.4,85
1419,2.125,16
1241,2.666666667,6
1203,4.047619048,21
420,3.666666667,81
1266,3.166666667,12
819,2.7,40
1364,1,1
18,2.8,10
837,3.92,25
1296,3.25,20
1045,3.24,25
822,3,4
890,1.953488372,43
998,2.5625,16
893,2.428571429,14
1168,3.318181818,22
437,1,5
1077,3.125,8
1254,1.818181818,11
236,3.622222222,45
907,2,2
804,2.875,8
668,2.166666667,6
442,1.25,4
1388,3.333333333,6
1405,3.333333333,6
1457,3,1
1271,2.714285714,7
1443,3.75,4
1430,2.333333333,3
1395,2.333333333,6
1257,1.75,4
1538,3,3
1418,3.666666667,3
1360,1.5,2
1450,4,2
1355,2.666666667,6
1293,5,3
1422,2.25,4
1592,3.6,5
446,2.444444444,9
1603,3,1
1326,3.333333333,6
981,1.75,8
1560,2.75,4
1588,2,2
1431,3.4,5
1526,4,1
1453,2,1
1381,3.25,8
1055,3.2,10
1323,2.666666667,3
1619,3,1
1345,2,2
1144,3.666666667,3
1642,4.5,2
1509,1.6,5
1515,4,1
911,2.5,4
1663,2,1
1460,3,1
1678,1,1
1625,4,1
65,3.539130435,115
501,3.495934959,123
566,3.569832402,179
324,3.136,125
234,3.775,280
79,4.044642857,336
187,4.186602871,209
204,3.834285714,350
127,4.283292978,413
737,2.983050847,59
644,3.771428571,35
524,4.02173913,46
174,4.252380952,420
302,4.161616162,297
219,3.171171171,111
98,4.28974359,390
589,4.023255814,43
950,2.9,30
237,3.7109375,384
281,3.143835616,146
602,3.7,50
617,3.777777778,18
15,3.778156997,293
488,4.2,65
487,4.102941176,68
150,3.828025478,157
106,2.887323944,71
12,4.38576779,267
208,3.945,200
1161,2.923076923,13
448,3.388235294,85
166,4.120689655,58
